rank,country,country_iso3,cluster,indice_habitabilidad,indices_disponibles,calidad_de_vida_y_bienestar,economia_y_costo_de_vida,salud_publica,vivienda_y_urbanismo,medioambiente_y_sostenibilidad,seguridad_y_criminalidad,gobernanza_y_libertades,migracion_y_movilidad,clima_y_desastres
38,Tuvalu,TUV,0,69.57,2,,,,,,,93.0,46.14,
39,Croatia,HRV,2,69.34222222222222,9,63.29,45.8,86.7,56.43,73.66,79.19,77.98,78.7,75.19
40,Romania,ROU,2,69.2088888888889,9,65.23,46.45,81.73,34.41,71.82,78.51,75.98,74.33,63.24
41,Canada,CAN,2,69.06444444444443,9,74.82,65.75,88.64,66.39,65.14,66.11,92.65,78.12,56.74
42,Taiwan,TWN,3,69.05666666666666,6,66.96,,,49.07,42.09,87.99,84.85,,81.52
43,Cyprus,CYP,2,69.02777777777777,9,63.36,52.57,89.49,76.94,67.5,72.8,82.25,76.22,94.0
44,France,FRA,2,68.97,9,69.77,47.58,95.03,57.71,72.92,56.66,85.75,80.67,70.06
45,Hungary,HUN,2,67.96,9,64.37,46.55,89.35,41.79,71.23,72.13,61.84,77.85,70.11
46,San Marino,SMR,2,67.952,5,,61.75,91.2,77.12,,,95.0,68.93,
47,Bahamas,BHS,0,67.76833333333333,6,,,77.11,68.48,63.09,,91.0,65.58,78.31
48,Italy,ITA,2,67.1,9,67.07,41.32,91.14,56.99,68.99,61.81,81.18,80.02,69.36
49,Bulgaria,BGR,2,66.25111111111111,9,58.83,45.11,81.33,41.92,71.35,65.43,70.74,74.09,71.3
50,Vatican,VAT,0,65.65,1,,,,,,,,65.65,
51,Bosnia-Herzegovina,BIH,0,65.43,1,,,,,,,65.43,,
52,United States,USA,2,65.42222222222222,9,69.77,52.62,85.81,66.55,60.05,50.25,81.27,75.21,80.37
53,United Arab Emirates,ARE,3,65.15666666666667,9,63.6,85.43,82.55,60.29,28.85,84.45,32.25,90.77,78.8
54,Sao Tome and Principe,STP,0,65.106,5,,,51.48,,79.05,,84.0,15.09,95.91
55,Trinidad and Tobago,TTO,3,64.76833333333333,6,,59.48,75.81,,48.15,,77.25,56.23,71.69
