country,country_iso3,category,variable,source,raw_value,normalized_score,weight,primary
Republic of the Congo,COG,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.010058333333333332,93.2618,0.3,True
Reunion,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,2.206861550954121,58.0974,0.2,False
Reunion,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.017356881851400732,81.2868,0.3,True
Romania,ROU,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,6.856456776947705,0.0,0.2,False
Romania,ROU,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,9.17575,91.7575,0.3,True
Romania,ROU,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.07341044659334586,0.0,0.3,True
Russia,RUS,vivienda_y_urbanismo,affordability_ratio_inverted,global-housing-market-analysis-2015-2024/global_housing_market_extended.csv,10.597534040722774,0.0,0.1,False
Russia,RUS,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,7.530791788856305,0.0,0.2,False
Russia,RUS,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,7.457750000000001,74.5775,0.3,True
Russia,RUS,vivienda_y_urbanismo,construction_index,global-housing-market-analysis-2015-2024/global_housing_market_extended.csv,110.5787846950714,56.0428,0.05,False
Russia,RUS,vivienda_y_urbanismo,mortgage_rate_inverted,global-housing-market-analysis-2015-2024/global_housing_market_extended.csv,4.585724933020151,28.1511,0.05,False
Russia,RUS,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.1211512717536814,0.0,0.3,True
Rwanda,RWA,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.6660427807486631,90.4528,0.2,False
Rwanda,RWA,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.020721925133689843,75.7657,0.3,True
Saint Helena,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.6234567901234568,91.3471,0.2,False
Saint Helena,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.021278731305831577,74.8521,0.3,True
Saint Kitts And Nevis,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,2.069151910531221,60.9891,0.2,False
Saint Kitts And Nevis,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.04930102516309413,28.8751,0.3,True
Saint Lucia,LCA,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.5826523663602315,92.2039,0.2,False
Saint Lucia,LCA,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.027749404153898535,64.2355,0.3,True
Saint Vincent And The Grenadines,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.5973926380368099,91.8944,0.2,False
Saint Vincent And The Grenadines,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.05674846625766871,16.6559,0.3,True
Samoa,WSM,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,5.016780945507037,0.0,0.2,False
Samoa,WSM,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.01335258029592205,87.8568,0.3,True
San Marino,SMR,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.1022072936660268,81.2939,0.2,False
San Marino,SMR,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.021593090211132437,74.3364,0.3,True
Sao Tome And Principe,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.9187082405345212,85.1471,0.2,False
Sao Tome And Principe,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.00585842935993028,100.0,0.3,True
Saudi Arabia,SAU,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.7503249038530226,88.683,0.2,False
Saudi Arabia,SAU,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,8.6965,86.965,0.3,True
Saudi Arabia,SAU,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.012529758175667208,89.2068,0.3,True
Senegal,SEN,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.0588114754098361,82.2051,0.2,False
Senegal,SEN,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.01608606557377049,83.3719,0.3,True
Serbia,SRB,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,3.4406449619871404,32.1893,0.2,False
